Nome;Id. B2W;SKU Parceiro;Preço de;Preço por;Qtd. Estoque;Ean;Situação;Motivo Reprovação;mensagem
Jogo de roda aro 15 GM Onix Aro Black Furação 4x100;1850413215;7010639567044B2W;R$ 1.768,78;R$ 1.768,78;0;7010639567044;"SE;"; ;
Jogo com 4 Rodas Aro 17 FURAÇÃO 5X114 PRATA DIAMANTADA;1850416942;7010639560489B2W;R$ 2.336,88;R$ 2.336,88;0;7010639560489;"SE;"; ;
Jogo com 4 Rodas Aro 15 FURAÇÃO 5X114 FACE DIAMANTADA;1850418075;7010639559421B2W;R$ 2.336,88;R$ 2.336,88;21;7010639559421;"PUBLICADO;"; ;
Jogo de roda aro 17 Toyota Corola Grafite Brilhante Furação 5x100;1850413434;7010639567105B2W;R$ 2.262,11;R$ 2.262,11;5;7010639567105;"PUBLICADO;"; ;
"Jogo de Roda Aro 17 Golf GTI - HIPER GLOSS; 4X100 OF 38";1850413696;7010639565569B2W;R$ 2.284,74;R$ 2.284,74;0;7010639565569;"SE;"; ;
Jogo de roda Aro 17 VW Tiguan Hipper Gloss Furação 5x112;1850418235;7010639566658B2W;R$ 2.262,11;R$ 2.262,11;3;7010639566658;"PUBLICADO;"; ;
Jogo de roda Aro 17 VW Tiguan Grafite Brilhante Furação 4x100;1850419481;7010639566603B2W;R$ 2.262,11;R$ 2.262,11;0;7010639566603;"SE;"; ;
Jogo de roda aro 14 GM Onix Aro Prata Furação 4x100;1850414007;7010639567037B2W;R$ 1.579,01;R$ 1.579,01;2;7010639567037;"PUBLICADO;"; ;
Calça saruel bebê Pistol Star - Wizard;1850414171;12FA29B9DD052376356010C3EAE191;R$ 117,00;R$ 117,00;1; ;"PUBLICADO;"; ;
Jogo com 4 Rodas Aro 18 FURAÇÃO 5X112 PRETA DIAMANTADA;1850420159;7010639561127B2W;R$ 2.779,74;R$ 2.779,74;1;7010639561127;"PUBLICADO;"; ;
Jogo de Roda Aro 17 VW Jetta Preta Diamantada Furação 4x100;1850415093;7010639566870B2W;R$ 2.262,11;R$ 2.262,11;0;7010639566870;"SE;"; ;
Jogo de roda Aro 18 VW Tiguan Hipper Gloss Furação 4x100;1850414411;7010639566726B2W;R$ 2.752,22;R$ 2.752,22;0;7010639566726;"SE;"; ;
Jogo de roda Aro 17 VW Tiguan Hipper Gloss Furação 4x100;1850418438;7010639566634B2W;R$ 2.262,11;R$ 2.262,11;2;7010639566634;"PUBLICADO;"; ;
Jogo com 4 Rodas Aro 17 FURAÇÃO 4X108 PRETA DIAMANTADA;1850418534;7010639560168B2W;R$ 2.284,74;R$ 2.284,74;0;7010639560168;"SE;"; ;
Jogo com 4 Rodas Aro 15 5X114 PRETA DIAMANTADA Offset 0;1850418711;7010639559469B2W;R$ 3.386,06;R$ 3.386,06;12;7010639559469;"PUBLICADO;"; ;
